
Available Providers (1355)
-------------------------------------------------------------------
{10A208DD-A372-421C-9D99-4FAD6DB68B62}	Microsoft-Windows-ApplicabilityEngine
{1139C61B-B549-4251-8ED3-27250A1EDEC8}	Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
{11A75546-3234-465E-BEC8-2D301CB501AC}	Microsoft-Windows-WindowsSystemAssessmentTool
{11BD2A68-77FF-4991-9658-F451F2EB6CE1}	Microsoft-Windows-Shell-OpenWith
{11C5D8AD-756A-42C2-8087-EB1B4A72A846}	Microsoft-Windows-NdisImPlatformEventProvider
{11CD958A-C507-4EF3-B3F2-5FD9DFBD2C78}	Microsoft-Windows-Windows Defender
{121D3DA8-BAF1-4DCB-929F-2D4C9A47F7AB}	Microsoft-Windows-Base-Filtering-Engine-Connections
{125F2CF1-2768-4D33-976E-527137D080F8}	Microsoft-Windows-SmartCard-TPM-VCard-Module
{126CDB97-D346-4894-8A34-658DA5EEA1B6}	Microsoft-Windows-System-Restore
{126DED58-A28D-4113-8E7A-59D7444B2AF1}	Microsoft-Windows-Ncasvc
{127E0DC5-E13B-4935-985E-78FD508B1D80}	Microsoft-Windows-TerminalServices-RdpSoundDriver
{12D25187-6C0D-4783-AD3A-84CAA135ACFD}	Microsoft-Windows-wmbclass
{13480A22-D79F-4334-9D32-AA239398AD3C}	Microsoft-Windows-Speech-UserExperience
{134EA407-755D-4A93-B8A6-F290CD155023}	Microsoft-Windows-HomeGroup-ControlPanel
{135094D5-381D-3680-7CF1-A13CD7258393}	Microsoft-Windows-NtfsLog_135094d5381d36807cf1a13cd7258393
{13B197BD-7CEE-4B4E-8DD0-59314CE374CE}	Microsoft-Windows-Perflib
{13BC4371-4E21-4E46-A84F-8C0FFB548CED}	Microsoft-Windows-DataIntegrityScan
{1418EF04-B0B4-4623-BF7E-D74AB47BBDAA}	Microsoft-Windows-WMI-Activity
{14371053-1813-471A-9510-1CF1D0A055A8}	Microsoft-Windows-IME-JPSetting
{15030774-D3D1-3D6C-0229-E46F118A00CB}	Microsoft-Windows-NtfsLog_15030774d3d13d6c0229e46f118a00cb
{152FBE4B-C7AD-4F68-BADA-A4FCC1464F6C}	Microsoft-Windows-Hyper-V-Netvsc
{152FDB2B-6E9D-4B60-B317-815D5F174C4A}	Microsoft-Windows-Crypto-RSAEnh
{155CB334-3D7F-4FF1-B107-DF8AFC3C0363}	Microsoft-Windows-MSDTC Client 2
{158AA9B6-CED4-38F8-46F7-28AE4578D0A0}	Microsoft-Windows-NtfsLog_158aa9b6ced438f846f728ae4578d0a0
{15A7A4F8-0072-4EAB-ABAD-F98A4D666AED}	Microsoft-Windows-Dhcp-Client
{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}	Microsoft-Windows-Kernel-Boot
{15F4CD44-CA53-5422-DB17-4E76821B5A69}	Microsoft-Windows-Privacy-Auditing-CPSS
{16A1ADC1-9B7F-4CD9-94B3-D8296AB1B130}	Microsoft-Windows-Kernel-AppCompat
{16C6501A-FF2D-46EA-868D-8F96CB0CB52D}	Microsoft-Windows-SEC
{16D90D71-CACA-5CD9-A618-8210D93015F3}	Microsoft-Windows-Hyper-V-KMCL-Child
{178DADAF-7AC4-4593-AB3E-A45FDA6D0D55}	Microsoft-Windows-Diagnosis-AdvancedTaskManager
{17D2A329-4539-5F4D-3435-F510634CE3B9}	Microsoft-Windows-Kernel-Dump
{17D6E590-F5FE-11DC-95FF-0800200C9A66}	Microsoft-Windows-ApplicationExperience-SwitchBack
{17E92E2A-3D08-413E-BAEB-A79A262BF486}	Microsoft-Windows-MsiServer
{17F14A23-551D-40CC-A086-E4194D64ED4C}	Microsoft-Windows-WABSyncProvider
{18F1202A-F3EF-36EC-6E50-FA48CF265035}	Microsoft-Windows-WwanProtDim_18f1202af3ef36ec6e50fa48cf265035
{18F4A5FD-FD3B-40A5-8FC2-E5D261C5D02E}	Microsoft-Windows-ApplicationExperience-LookupServiceTrigger
{192EDE41-9175-4C86-AC02-9D003C9D43AB}	Microsoft-Windows-DisplaySwitch
{197D1E48-74BD-35DC-6669-C39DCE3F067E}	Microsoft-Windows-NtfsLog_197d1e4874bd35dc6669c39dce3f067e
{199FE037-2B82-40A9-82AC-E1D46C792B99}	LsaSrv
{19A4C69A-28EB-4D4B-8D94-5F19055A1B5C}	Microsoft-Windows-AsynchronousCausality
{19D2C934-EE9B-49E5-AAEB-9CCE721D2C65}	Microsoft-Windows-OLEACC
{1A396961-5F3C-4C71-8310-44C653C0BF8A}	Microsoft-Windows-DiagCpl
{1A772F65-BE1E-4FC6-96BB-248E03FA60F5}	Microsoft-Windows-EnergyEfficiencyWizard
{1A870028-F191-4699-8473-6FCD299EAB77}	Microsoft-Windows-Remotefs-Rdbss
{1A9443D4-B099-44D6-8EB1-829B9C2FE290}	Microsoft-Windows-PCI
{1B10DFEA-438D-3614-2037-66F7BF5D36BA}	Microsoft-Windows-FltMgrTrace_1b10dfea438d3614203766f7bf5d36ba
{1B562E86-B7AA-4131-BADC-B6F3A001407E}	Microsoft-Windows-DistributedCOM
{1B6B0772-251B-4D42-917D-FACA166BC059}	TPM
{1B734B40-A458-4B81-954F-AD7C9461BED8}	Microsoft-Windows-IME-CustomerFeedbackManagerUI
{1B8B402D-78DC-46FB-BF71-46E64AEDF165}	Microsoft-Windows-RemoteApp and Desktop Connections
